,rating,reviews,price,country,bathrooms,beds,guests,toiles,bedrooms,studios,checkin,checkout,amenities_list,amenities_count,region,bathroom_shared,bathroom_private,toilet_only,no_rating
0,4.71,64,4.588281381672645,Turkey,1.0,1,2,0,2,0,Flexible,12 00 pm,"['Mountain view', 'Valley view', 'Lake access', 'Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV']",8,Kocaeli,0,0,0,0
1,,0,4.046638147932961,Turkey,2.0,2,4,0,2,0,4 00 pm - 11 00 pm,10 00 am,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool', 'Private hot tub', 'TV', 'Washing machine']",8,Antalya,0,0,0,1
2,4.85,68,4.292932037809096,Georgia,1.0,3,4,0,1,0,After 1 00 pm,12 00 pm,"['Mountain view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises', 'Pets allowed', '40"" HDTV with cable/satellite TV', 'Lift']",8,Imereti,0,0,0,0
3,5.0,13,4.924455991428211,Turkey,1.0,2,4,0,1,0,After 2 00 pm,12 00 pm,"['Mountain view', 'Valley view', 'Kitchen', 'Wifi', 'Free parking on premises', 'Private pool', '42"" HDTV with Netflix', 'Security cameras on property']",8,Sakarya,0,0,0,0
4,,0,4.399345670131093,Turkey,1.0,1,2,0,1,0,After 2 00 pm,12 00 pm,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Air conditioning', 'Long-term stays allowed']",6,Sakarya,0,0,0,1
5,,0,5.184352334236905,Turkey,1.0,2,2,0,1,0,After 2 00 pm,12 00 pm,"['Lake view', 'Mountain view', 'Waterfront', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool', 'HDTV with Netflix', 'Security cameras on property']",9,Sakarya,0,0,0,1
6,,0,5.006207836672693,Turkey,1.0,1,2,0,1,0,After 3 00 pm,11 00 am,"['Garden view', 'Mountain view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Pets allowed']",8,Antalya,0,0,0,1
7,,0,5.109080386977229,Turkey,1.0,2,8,0,1,0,Flexible,Unknown,"['Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'Indoor fireplace', 'Hair dryer', 'Fire pit', 'Long-term stays allowed']",8,Giresun,0,0,0,1
8,,0,3.0932306380388686,Vietnam,1.0,1,2,0,1,0,After 1 00 pm,11 00 am,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washing machine', 'Dryer']",8,Lâm Đồng,0,0,0,1
9,4.67,3,5.908901094744277,Thailand,3.0,6,10,0,4,0,After 3 00 pm,Unknown,"['Kitchen', 'Wifi', 'Free parking on premises', 'Private pool', 'TV', 'Air conditioning', 'Breakfast', 'Long-term stays allowed']",8,Chang Wat Chanthaburi,0,0,0,0
10,4.97,77,4.701027861015509,South Korea,1.0,1,4,0,1,0,3 00 pm - 9 00 pm,11 00 am,"['Mountain view', 'Kitchen', 'Free on-street parking', 'Central air conditioning', 'Shared patio or balcony', 'Hair dryer', 'Fire pit', '쿠잉 115L 레트로 refrigerator', 'Microwave']",9,North Chungcheong Province,0,0,0,0
11,4.89,55,4.244701479954776,India,1.0,1,2,0,1,0,1 00 pm - 11 00 pm,11 00 am,"['Garden view', 'Waterfront', 'Wifi', 'Free parking on premises', 'Pets allowed', 'Dryer', 'Private patio or balcony', 'Private backyard – Fully fenced']",8,Himachal Pradesh,0,0,0,0
12,4.83,116,5.17642197105642,Philippines,2.0,7,8,0,2,0,2 00 pm - 4 00 pm,12 00 pm,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool', 'Air conditioning', 'Refrigerator', 'Microwave']",8,Calabarzon,0,0,0,0
13,4.87,23,4.687471693755537,Philippines,1.0,2,15,0,1,0,2 00 pm - 8 00 pm,12 00 pm,"['Garden view', 'Lake view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 3 spaces', 'Pets allowed', 'Private patio or balcony', 'Private backyard – Fully fenced', 'Luggage drop-off allowed']",10,Calabarzon,0,0,0,0
14,4.71,21,3.835948318352127,Turkey,1.5,1,4,0,1,0,2 00 pm - 7 00 pm,12 00 pm,"['Mountain view', 'Garden view', 'Kitchen', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Private patio or balcony']",8,Sakarya,0,0,0,0
15,5.0,8,5.617471837852036,Turkey,1.0,4,6,0,2,0,After 2 00 pm,10 00 am,"['Courtyard view', 'Garden view', 'Public or shared beach access', 'Kitchen', 'Wifi – 49 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Private pool', 'Private hot tub']",9,Antalya,0,0,0,0
16,4.9,52,4.920068864974293,Turkey,1.0,2,4,0,1,0,2 00 pm - 9 00 pm,11 00 am,"['Garden view', 'Mountain view', 'Lake access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free residential garage on premises – 3 spaces', 'Private outdoor pool – available all year', 'open 24 hours', 'Pets allowed', 'Security cameras on property']",11,Sakarya,0,0,0,0
17,4.75,8,4.518246428379925,Turkey,1.0,1,2,0,1,0,2 00 pm - 8 00 pm,12 00 pm,"['Courtyard view', 'Garden view', 'Public or shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private hot tub']",8,İstanbul,0,0,0,0
18,4.76,17,4.118351270126329,Turkey,1.0,6,2,0,2,0,After 11 00 am,11 00 am,"['Mountain view', 'Resort view', 'Waterfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable/satellite', 'Washing machine', 'Security cameras on property']",10,Rize,0,1,0,0
19,4.84,61,3.5291913828406853,Philippines,1.0,1,3,0,0,0,4 00 pm - 6 00 pm,3 00 pm,"['Pets allowed', 'Private patio or balcony', 'Garden', 'Indoor fireplace', 'Fire pit', 'Long-term stays allowed']",6,Calabarzon,0,1,0,0
20,4.79,49,4.421884308965118,Georgia,1.5,1,3,0,1,0,3 00 pm - 8 00 pm,1 00 pm,"['Garden view', 'Lake view', 'Public or shared beach access', 'Kitchen', 'Free parking on premises', 'Bath', 'Private patio or balcony', 'Private garden']",8,Mtskheta-Mtianeti,0,0,0,0
21,4.97,38,4.213821833425754,Philippines,1.0,1,2,0,1,0,2 00 pm - 7 00 pm,11 00 am,"['Public or shared beach access – Beachfront', 'Free residential garage on premises', 'Pets allowed', 'Air conditioning', 'Refrigerator', 'Long-term stays allowed', 'Security cameras on property']",7,Central Luzon,0,1,0,0
22,4.82,23,4.435824320573936,Turkey,1.0,4,6,0,2,0,After 2 00 pm,12 00 pm,"['Garden view', 'Mountain view', 'Kitchen', 'Dedicated workspace', 'Free driveway parking on premises', 'Pets allowed', 'TV', 'Central air conditioning']",8,Sakarya,0,0,0,0
23,5.0,4,3.8218082555783144,India,1.5,1,2,0,1,0,12 00 pm - 2 00 pm,10 00 am,"['Mountain view', 'Kitchen', 'Wifi', 'Pets allowed', 'HDTV', 'Bath', 'Private backyard – Fully fenced', 'Luggage drop-off allowed']",8,Himachal Pradesh,0,0,0,0
24,4.93,15,5.048310172964278,Turkey,1.0,3,6,0,2,0,After 3 00 pm,Unknown,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washing machine', 'Free dryer – In building', 'Bath', 'Private patio or balcony']",9,Bolu,0,0,0,0
25,4.96,26,4.594389389912191,Turkey,1.5,1,4,0,1,0,2 00 pm - 2 00 am,12 00 pm,"['Lake view', 'Mountain view', 'Public or shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool']",8,Sakarya,0,0,0,0
26,4.6,5,5.205924613659221,Turkey,2.0,4,7,0,3,0,Unknown,Unknown,"['Kitchen', 'Free residential garage on premises', 'Private pool', 'Private hot tub', 'TV', 'Air conditioning', 'Private patio or balcony', 'Security cameras on property']",8,Sakarya,0,0,0,0
27,,2,5.241747015059643,Turkey,1.0,1,4,0,1,0,2 00 pm - 12 00 am,12 00 pm,"['Lake view', 'Garden view', 'Kitchen', 'Wifi', 'Free residential garage on premises', 'Private pool', 'Private hot tub', 'Security cameras on property']",8,Sakarya,0,0,0,1
28,5.0,4,4.511653577495579,Turkey,1.0,2,4,0,1,0,2 00 pm - 10 00 pm,12 00 pm,"['Mountain view', 'Valley view', 'Lake access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private hot tub', 'Pets allowed', 'Security cameras on property']",10,Sakarya,0,0,0,0
29,4.87,85,2.863920571808995,Philippines,1.0,1,2,0,1,0,Flexible,Unknown,"['Beach access – Beachfront', 'Kitchen', 'Pets allowed', 'Patio or balcony', 'Garden', 'Refrigerator', 'Long-term stays allowed']",7,MIMAROPA,0,0,0,0
30,5.0,9,5.1871838604326435,Turkey,1.0,2,4,0,1,0,After 2 00 pm,11 00 am,"['Lake access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool', 'Private hot tub – available all year', 'open 24 hours', '42"" HDTV with Netflix', 'cable/satellite TV']",10,Sakarya,0,0,0,0
31,4.9,20,4.608898168178311,Philippines,1.0,5,7,0,3,0,After 4 00 pm,3 00 pm,"['Garden view', 'Mountain view', 'Waterfront', 'Free parking on premises', 'Pets allowed', 'Private patio or balcony', 'Shared garden', 'Fire pit']",8,Calabarzon,0,1,0,0
32,4.64,11,4.490664905149504,Turkey,1.0,1,2,0,1,0,4 00 pm - 11 00 pm,10 00 am,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool', 'Private hot tub', 'TV', 'Washing machine']",8,Antalya,0,0,0,0
33,5.0,7,3.9081601324451154,Turkey,1.5,2,3,0,1,0,After 2 00 pm,12 00 pm,"['Garden view', 'Mountain view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'Paid washer – In building', 'Private patio or balcony', 'Security cameras on property']",10,Nevşehir,0,0,0,0
34,4.75,4,5.172262259647377,Turkey,1.0,0,4,0,1,0,After 2 00 pm,11 00 am,"['Bay view', 'City skyline view', 'Lake access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool']",8,Sakarya,0,0,0,0
35,5.0,8,4.503951016173039,India,1.0,0,2,0,1,0,2 00 pm - 10 00 pm,11 00 am,"['Garden view', 'Valley view', 'Kitchen', 'Wifi – 35 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'Free washer – In unit']",8,Uttarakhand,0,0,0,0
36,,0,5.265121838948032,India,4.5,3,7,0,3,0,After 3 00 pm,Unknown,"['Lake view', 'Mountain view', 'Waterfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool', 'Pets allowed']",9,Maharashtra,0,0,0,1
37,,1,5.137356400682438,Turkey,1.0,1,4,0,1,0,After 2 00 pm,12 00 pm,"['Mountain view', 'Garden view', 'Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'Private hot tub', 'Pets allowed']",8,Sakarya,0,0,0,1
38,,0,5.362140270246734,Turkey,1.0,2,5,0,2,0,After 2 00 pm,11 00 am,"['Garden view', 'Mountain view', 'Lake access', 'Kitchen', 'Wifi', 'Free on-street parking', 'Pool', 'HDTV']",8,Sakarya,0,0,0,1
39,4.68,241,5.060992407431155,Japan,1.0,7,9,0,3,0,4 00 pm - 12 00 am,11 00 am,"['Resort view', 'Ocean view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', '32"" TV', 'Security cameras on property']",9,Okinawa-ken,0,0,0,0
40,4.83,41,3.9100934341589317,Philippines,1.0,2,4,0,1,0,After 2 00 pm,12 00 pm,"['Pets allowed', 'Indoor fireplace', 'Smoking allowed', 'Long-term stays allowed']",4,MIMAROPA,0,0,0,0
41,5.0,10,4.414184699487766,Turkey,1.0,1,4,0,1,0,2 00 pm - 9 00 pm,12 00 pm,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV', 'AC – split-type ductless system', 'Garden', 'Indoor fireplace: wood-burning']",8,Kocaeli,1,0,0,0
42,,2,4.803230687055284,Turkey,1.0,2,3,0,1,0,2 00 pm - 2 00 am,11 00 am,"['Garden view', 'Mountain view', 'Lake access', 'Kitchen', 'Wifi', 'Free parking on premises', 'Private hot tub', 'Security cameras on property']",8,Sakarya,0,0,0,1
43,4.68,25,4.595241541646757,Philippines,1.0,2,5,0,2,0,2 00 pm - 11 00 pm,11 00 am,"['Garden view', 'Lake view', 'Public or shared beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Washing machine', 'Central air conditioning', 'Security cameras on property']",9,Central Luzon,0,0,0,0
44,4.8,61,3.0739196931257813,India,2.0,1,2,0,1,0,11 00 am - 5 00 pm,10 00 am,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Washing machine', 'Garden', 'Luggage drop-off allowed', 'Security cameras on property']",8,Tamil Nadu,0,0,0,0
45,4.68,154,4.669332130205377,Philippines,3.0,8,10,0,3,0,After 2 00 pm,11 00 am,"['Mountain view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washing machine', 'Free dryer – In building', 'Private patio or balcony']",9,Cordillera Administrative Region,0,0,0,0
46,,0,3.3788614277200923,Philippines,0.0,1,2,1,1,0,After 3 00 pm,11 00 am,"['Wifi', 'Free parking on premises', 'Shared backyard – Fully fenced', 'Luggage drop-off allowed', 'Fire pit', 'Breakfast', 'Long-term stays allowed', 'Security cameras on property']",8,Ilocos Region,0,0,1,1
47,,1,5.603274068497742,Turkey,1.0,1,2,0,1,0,2 00 pm - 12 00 am,11 00 am,"['Lake access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free on-street parking', 'Shared outdoor pool', 'Private hot tub', 'TV']",8,Sakarya,0,0,0,1
